Abilene Christian,1
Air Force,2
Akron,3
Alabama,4
Alabama A&M,5
Alabama St.,6
Albany,7
Alcorn St.,8
American,9
Appalachian St.,10
Arizona,11
Arizona St.,12
Arkansas,13
Arkansas Pine Bluff,14
Arkansas St.,15
Army,16
Auburn,17
Austin Peay,18
Ball St.,19
Baylor,20
Bellarmine,21
Belmont,22
Bethune Cookman,23
Binghamton,24
Boise St.,25
Boston College,26
Boston University,27
Bowling Green,28
Bradley,29
Brown,30
Bryant,31
Bucknell,32
Buffalo,33
Butler,34
BYU,35
Cal Baptist,36
Cal Poly,37
Cal St. Bakersfield,38
Cal St. Fullerton,39
California,40
Campbell,41
Canisius,42
Central Arkansas,43
Central Connecticut,44
Central Michigan,45
Charleston,46
Charleston Southern,47
Charlotte,48
Chattanooga,49
Chicago St.,50
Cincinnati,51
Clemson,52
Cleveland St.,53
Coastal Carolina,54
Colgate,55
Colorado,56
Colorado St.,57
Columbia,58
Connecticut,59
Coppin St.,60
Cornell,61
Creighton,62
CSUN,63
Dartmouth,64
Davidson,65
Dayton,66
Delaware,67
Delaware St.,68
Denver,69
DePaul,70
Detroit Mercy,71
Drake,72
Drexel,73
Duke,74
Duquesne,75
East Carolina,76
East Tennessee St.,77
East Texas A&M,78
Eastern Illinois,79
Eastern Kentucky,80
Eastern Michigan,81
Eastern Washington,82
Elon,83
Evansville,84
Fairfield,85
Fairleigh Dickinson,86
FIU,87
Florida,88
Florida A&M,89
Florida Atlantic,90
Florida Gulf Coast,91
Florida St.,92
Fordham,93
Fresno St.,94
Furman,95
Gardner Webb,96
George Mason,97
George Washington,98
Georgetown,99
Georgia,100
Georgia Southern,101
Georgia St.,102
Georgia Tech,103
Gonzaga,104
Grambling St.,105
Grand Canyon,106
Green Bay,107
Hampton,108
Harvard,109
Hawaii,110
High Point,111
Hofstra,112
Holy Cross,113
Houston,114
Houston Christian,115
Howard,116
Idaho,117
Idaho St.,118
Illinois,119
Illinois Chicago,120
Illinois St.,121
Incarnate Word,122
Indiana,123
Indiana St.,124
Iona,125
Iowa,126
Iowa St.,127
IU Indy,128
Jackson St.,129
Jacksonville,130
Jacksonville St.,131
James Madison,132
Kansas,133
Kansas City,134
Kansas St.,135
Kennesaw St.,136
Kent St.,137
Kentucky,138
La Salle,139
Lafayette,140
Lamar,141
Le Moyne,142
Lehigh,143
Liberty,144
Lindenwood,145
Lipscomb,146
Little Rock,147
LIU,148
Long Beach St.,149
Longwood,150
Louisiana,151
Louisiana Monroe,152
Louisiana Tech,153
Louisville,154
Loyola Chicago,155
Loyola Marymount,156
Loyola MD,157
LSU,158
Maine,159
Manhattan,160
Marist,161
Marquette,162
Marshall,163
Maryland,164
Maryland Eastern Shore,165
Massachusetts,166
McNeese,167
Memphis,168
Mercer,169
Mercyhurst,170
Merrimack,171
Miami FL,172
Miami OH,173
Michigan,174
Michigan St.,175
Middle Tennessee,176
Milwaukee,177
Minnesota,178
Mississippi,179
Mississippi St.,180
Mississippi Valley St.,181
Missouri,182
Missouri St.,183
Monmouth,184
Montana,185
Montana St.,186
Morehead St.,187
Morgan St.,188
Mount St. Mary's,189
Murray St.,190
N.C. State,191
Navy,192
Nebraska,193
Nebraska Omaha,194
Nevada,195
New Hampshire,196
New Mexico,197
New Mexico St.,198
New Orleans,199
Niagara,200
Nicholls,201
NJIT,202
Norfolk St.,203
North Alabama,204
North Carolina,205
North Carolina A&T,206
North Carolina Central,207
North Dakota,208
North Dakota St.,209
North Florida,210
North Texas,211
Northeastern,212
Northern Arizona,213
Northern Colorado,214
Northern Illinois,215
Northern Iowa,216
Northern Kentucky,217
Northwestern,218
Northwestern St.,219
Notre Dame,220
Oakland,221
Ohio,222
Ohio St.,223
Oklahoma,224
Oklahoma St.,225
Old Dominion,226
Oral Roberts,227
Oregon,228
Oregon St.,229
Pacific,230
Penn,231
Penn St.,232
Pepperdine,233
Pittsburgh,234
Portland,235
Portland St.,236
Prairie View A&M,237
Presbyterian,238
Princeton,239
Providence,240
Purdue,241
Purdue Fort Wayne,242
Queens,243
Quinnipiac,244
Radford,245
Rhode Island,246
Rice,247
Richmond,248
Rider,249
Robert Morris,250
Rutgers,251
Sacramento St.,252
Sacred Heart,253
Saint Francis,254
Saint Joseph's,255
Saint Louis,256
Saint Mary's,257
Saint Peter's,258
Sam Houston St.,259
Samford,260
San Diego,261
San Diego St.,262
San Francisco,263
San Jose St.,264
Santa Clara,265
Seattle,266
Seton Hall,267
Siena,268
SIUE,269
SMU,270
South Alabama,271
South Carolina,272
South Carolina St.,273
South Dakota,274
South Dakota St.,275
South Florida,276
Southeast Missouri,277
Southeastern Louisiana,278
Southern,279
Southern Illinois,280
Southern Indiana,281
Southern Miss,282
Southern Utah,283
St. Bonaventure,284
St. John's,285
St. Thomas,286
Stanford,287
Stephen F. Austin,288
Stetson,289
Stonehill,290
Stony Brook,291
Syracuse,292
Tarleton St.,293
TCU,294
Temple,295
Tennessee,296
Tennessee Martin,297
Tennessee St.,298
Tennessee Tech,299
Texas,300
Texas A&M,301
Texas A&M Corpus Chris,302
Texas Southern,303
Texas St.,304
Texas Tech,305
